run,folder,sample_count,future_cameras_psnr,future_primary_psnr,future_wrist_psnr,future_cameras_ssim,future_primary_ssim,future_wrist_ssim
Euler-base,visualize/euler_base,16,7.4044318199157715,6.93086451292038,7.8779992163181305,0.1983928419649601,0.1770437564700842,0.21974193211644888
6D-base,visualize/rotation6d_base,16,7.382715940475464,6.8554770946502686,7.909954637289047,0.19563634600490332,0.16670329589396715,0.2245693951845169
E-P,visualize/euler_14d_policy,16,18.843006551265717,19.750872492790222,17.935140371322632,0.6870310604572296,0.7703595273196697,0.6037025973200798
6D-P,visualize/rotation6d_20d_policy,16,17.380957067012787,18.167551457881927,16.594362556934357,0.5987314060330391,0.6510973870754242,0.546365411952138
6D-J,visualize/rotation6d_20d_joint,16,19.720028281211853,20.757691979408264,18.682365238666534,0.7217729762196541,0.7822110690176487,0.6613348983228207
6D-J-ID,visualize/rotation6d_20d_joint_id,16,19.13372266292572,20.19799715280533,18.069448113441467,0.6951991356909275,0.775708481669426,0.6146897859871387
