metric,label,normal,future_shuffle,delta_future
action_physical_mae,动作物理 MAE,0.02074701718520373,0.02837367691099644,0.007626659725792708
left_rotation_geodesic_deg,左臂旋转 (°),0.0,0.08992059137672186,0.08992059137672186
right_rotation_geodesic_deg,右臂旋转 (°),0.3592729400843382,0.2748346200212836,-0.08443832006305457
left_translation_mae,左臂平移 MAE,0.03886697078123689,0.05032221416477114,0.01145524338353425
right_translation_mae,右臂平移 MAE,0.03285499589983374,0.034965127473697066,0.002110131573863326
left_horizon_16_rotation_geodesic_deg,左臂 horizon-16 旋转 (°),0.0,0.12233814895153046,0.12233814895153046
right_horizon_16_rotation_geodesic_deg,右臂 horizon-16 旋转 (°),0.3799446702003479,0.14089264273643493,-0.23905202746391296
