run,folder,sample_count,checkpoint_step,seed,num_steps,future_cameras_psnr,future_primary_psnr,future_wrist_psnr,future_cameras_ssim,future_primary_ssim,future_wrist_ssim
Euler-base,visualize/euler_base,16,0,20260820,10,7.4044318199157715,6.93086451292038,7.8779992163181305,0.1983928419649601,0.1770437564700842,0.21974193211644888
6D-base,visualize/rotation6d_base,16,0,20260820,10,7.382715940475464,6.8554770946502686,7.909954637289047,0.19563634600490332,0.16670329589396715,0.2245693951845169
E-P,visualize/euler_14d_policy_2000,16,2000,20260820,10,19.422190964221954,20.624616622924805,18.219765305519104,0.7260532677173615,0.7988514862954617,0.6532550491392612
E-J,visualize/euler_14d_joint_2000,16,2000,20260820,10,18.822762191295624,20.071702659130096,17.573821902275085,0.6799570173025131,0.7692709341645241,0.5906431097537279
6D-P,visualize/rotation6d_20d_policy_2000,16,2000,20260820,10,19.821441292762756,21.37100660800934,18.271875977516174,0.7351608574390411,0.8181237056851387,0.6521980091929436
6D-J,visualize/rotation6d_20d_joint_2000,16,2000,20260820,10,19.32806634902954,20.8000408411026,17.856091916561127,0.7171483710408211,0.7991355583071709,0.6351611986756325
