run,step,left_rotation_geodesic_deg,right_rotation_geodesic_deg,left_translation_mae,right_translation_mae,left_gripper_accuracy,right_gripper_accuracy,left_horizon_16_rotation_geodesic_deg,right_horizon_16_rotation_geodesic_deg,left_horizon_16_translation_mae,right_horizon_16_translation_mae,sigma_0.5/world/future_image_l1,sigma_0.5/world/future_wrist_image_l1,sigma_0.5/world/future_proprio_l1,sigma_0.5/world/value_l1,sigma_0.5/value/value_scalar_mae,sigma_0.5/value/value_l1
E-P,2000,0.0,0.0,0.02810154502512887,0.016218870226293803,0.9630859375,1.0,0.0,0.0,0.03531328667886555,0.016063276468776165,0.07749632149934768,0.10010433197021484,0.04534430038183927,0.021700447238981724,0.004126469977200032,0.023387409327551723
E-J,2000,0.0,0.0,0.03512477555777878,0.01684697684831917,0.9681640625,1.0,0.0,0.0,0.04557292098179459,0.01616907665738836,0.0872734660282731,0.11220299880951642,0.043678786233067514,0.030008300859481096,0.0034863695502281187,0.03157640625722706
6D-P,2000,0.0,0.0,0.049363879137672484,0.015411313378717751,0.966015625,1.0,0.0,0.0,0.05465082010487095,0.016694712184835224,0.0780111975967884,0.1054451435804367,0.03294503740034997,0.015851079602725804,0.002842259779572487,0.01663847148884088
6D-J,2000,0.07401140630245209,0.0,0.05268591889180243,0.016985663876403122,0.9265625,1.0,0.0903475433588028,0.0,0.05729074294213206,0.018008110194932668,0.07900594519451261,0.10097379963845014,0.03925546729005873,0.0173607864882797,0.009430743753910065,0.020021337177604438
