# dx dy dz rx ry rz dgrip
0.000167 -0.002505 -0.002310 0.002766 -0.000030 -0.000159 0.000000
0.000137 -0.002089 -0.001955 0.002116 -0.000019 -0.000125 0.000000
0.000092 -0.001750 -0.001607 0.001697 -0.000067 -0.000173 0.000000
0.000104 -0.001308 -0.001201 0.001230 -0.000001 -0.000216 0.000000
0.000047 -0.001053 -0.000888 0.001298 -0.000012 -0.000139 0.000000
0.000061 -0.000701 -0.000615 0.000967 0.000023 -0.000125 0.000000
-0.000002 -0.000321 -0.000315 0.000713 -0.000021 -0.000047 0.000000
0.000015 -0.000064 -0.000099 0.000789 0.000023 -0.000094 0.000000
-0.000024 0.000180 0.000276 0.001079 -0.000028 -0.000037 0.000000
-0.000034 0.000312 0.000469 0.001205 0.000026 -0.000007 0.000000
-0.000019 0.000452 0.000550 0.000772 -0.000003 -0.000095 0.000000
-0.000049 0.000563 0.000687 0.000736 -0.000007 0.000020 0.000000
-0.000101 0.000719 0.000884 0.000873 -0.000148 0.000020 0.000000
-0.000101 0.000891 0.001124 0.001070 -0.000146 0.000070 0.000000
-0.000083 0.001042 0.001388 0.001371 0.000005 0.000033 0.000000
-0.000103 0.001283 0.001672 0.001452 -0.000001 0.000047 0.000000
-0.000141 0.001486 0.001895 0.001388 -0.000008 0.000086 0.000000
-0.000142 0.001595 0.001949 0.001006 0.000006 0.000036 0.000000
-0.000153 0.001964 0.002292 0.000621 0.000060 0.000005 0.000000
-0.000200 0.002251 0.002544 0.000018 0.000019 0.000018 0.000000
-0.000173 0.002460 0.002718 -0.000662 0.000031 -0.000038 0.000000
-0.000159 0.002299 0.002553 -0.001436 0.000061 -0.000137 0.000000
-0.000189 0.002237 0.002529 -0.002463 -0.000044 -0.000117 0.000000
-0.000173 0.002109 0.002495 -0.003374 -0.000057 -0.000167 0.000000
-0.000173 0.001993 0.002618 -0.004504 -0.000049 -0.000286 0.000000
-0.000184 0.001787 0.002503 -0.005077 -0.000114 -0.000163 0.000000
-0.000139 0.001813 0.002346 -0.006771 -0.000138 -0.000246 0.000000
-0.000126 0.001724 0.001693 -0.007708 -0.000154 -0.000260 0.000000
-0.000098 0.001500 0.001399 -0.007708 -0.000202 -0.000276 0.000000
-0.000081 0.001353 0.001100 -0.007708 -0.000020 -0.000278 0.000000
-0.000068 0.001203 0.001108 -0.007373 -0.000007 -0.000249 0.000000
-0.000058 0.001071 0.001107 -0.006377 0.000026 -0.000234 0.000000
-0.000064 0.000920 0.000984 -0.005583 0.000054 -0.000155 0.000000
-0.000021 0.000693 0.000828 -0.004277 0.000038 -0.000248 0.011765
-0.000062 0.000547 0.000901 -0.003383 0.000093 -0.000058 0.000000
-0.000041 0.000386 0.001052 -0.002426 0.000070 -0.000115 0.000000
-0.000105 0.000221 0.001432 -0.001195 0.000082 0.000004 0.000000
-0.000068 0.000120 0.001710 -0.000538 0.000024 -0.000021 0.015686
-0.000112 0.000022 0.002269 -0.000322 0.000061 -0.000021 0.000000
-0.000163 -0.000076 0.002900 -0.000279 0.000007 0.000047 0.000000
-0.000186 -0.000172 0.003811 -0.000283 0.000076 -0.000024 0.000000
-0.000243 -0.000140 0.004232 -0.001108 -0.000057 -0.000080 0.000000
-0.000262 -0.000149 0.004974 -0.002002 -0.000038 -0.000136 0.000000
-0.000283 -0.000270 0.005658 -0.003066 -0.000039 -0.000112 0.000000
-0.000208 -0.000318 0.005806 -0.004051 -0.000103 -0.000154 0.000000
-0.000235 -0.000531 0.006122 -0.003464 -0.000139 -0.000020 0.000000
-0.000216 -0.000504 0.005923 -0.005510 -0.000219 0.000031 0.000000
-0.000053 -0.000827 0.006115 -0.003593 -0.000257 -0.000061 -0.003922
0.000129 -0.000700 0.005322 -0.004200 -0.000268 -0.000308 0.000000
0.000299 -0.000898 0.005222 -0.002356 -0.000183 -0.000508 0.000000
0.000648 -0.000702 0.004259 -0.001867 -0.000140 -0.001009 0.000000
0.000806 -0.000877 0.004543 -0.000253 -0.000160 -0.001213 0.000000
0.001007 -0.000695 0.004005 -0.000210 -0.000061 -0.001413 0.000000
0.001028 -0.000478 0.003274 -0.000058 0.000033 -0.001369 0.000000
0.001091 -0.000427 0.003118 -0.000159 0.000106 -0.001452 0.000000
0.001008 -0.000343 0.002794 -0.000074 0.000096 -0.001209 0.003922
