# dx dy dz rx ry rz dgrip
-0.000002 -0.000003 -0.000159 -0.000256 -0.000071 -0.000010 0.000000
0.000003 0.000128 -0.000076 -0.000316 -0.000046 -0.000028 0.000000
-0.000008 0.000287 -0.000022 -0.000476 -0.000015 -0.000027 0.000000
0.000026 0.000393 0.000087 -0.000457 0.000110 -0.000110 0.000000
-0.000022 0.000504 0.000301 -0.000224 0.000075 -0.000021 0.000000
0.000013 0.000493 0.000348 -0.000109 0.000166 -0.000028 0.000000
0.000022 0.000520 0.000438 0.000054 0.000180 -0.000080 0.000000
0.000046 0.000440 0.000367 0.000037 0.000174 -0.000127 0.000000
0.000028 0.000414 0.000424 0.000213 0.000123 -0.000035 0.000000
-0.000001 0.000558 0.000593 0.000197 0.000173 -0.000082 0.000000
0.000020 0.000331 0.000421 0.000209 0.000077 -0.000068 0.000000
-0.000021 0.000281 0.000323 0.000019 0.000070 0.000012 0.000000
-0.000032 0.000275 0.000309 -0.000011 0.000009 0.000010 0.000000
-0.000021 0.000293 0.000371 0.000126 0.000054 -0.000025 0.000000
-0.000029 0.000321 0.000454 0.000302 0.000013 -0.000018 0.000000
-0.000030 0.000336 0.000448 0.000218 0.000052 0.000028 0.000000
-0.000016 0.000347 0.000379 -0.000016 0.000025 -0.000071 0.000000
-0.000007 0.000280 0.000246 -0.000105 -0.000014 -0.000004 0.000000
-0.000026 0.000248 0.000195 -0.000237 0.000015 0.000010 0.000000
-0.000022 0.000226 0.000258 -0.000018 -0.000032 -0.000012 0.000000
0.000006 0.000221 0.000260 0.000032 0.000035 -0.000039 0.000000
-0.000047 0.000212 0.000294 0.000040 -0.000015 0.000034 0.000000
-0.000016 0.000252 0.000365 0.000114 0.000074 -0.000007 0.000000
0.000002 0.000242 0.000325 -0.000007 0.000175 -0.000034 0.000000
-0.000008 0.000174 0.000237 -0.000079 0.000147 0.000019 0.000000
0.000042 0.000054 0.000027 -0.000321 0.000106 -0.000049 0.000000
0.000151 -0.000109 -0.000135 -0.000426 0.000150 -0.000219 0.000000
0.000180 -0.000231 -0.000407 -0.000848 0.000122 -0.000180 0.000000
0.000199 -0.000268 -0.000510 -0.001023 0.000188 -0.000214 0.000000
0.000181 -0.000274 -0.000438 -0.000885 0.000207 -0.000186 0.000000
0.000130 -0.000218 -0.000292 -0.000673 0.000232 -0.000099 0.000000
0.000131 0.000002 -0.000050 -0.000416 0.000286 -0.000063 0.000000
0.000037 0.000344 0.000443 0.000209 0.000315 0.000014 0.000000
-0.000025 0.000676 0.001049 0.001072 0.000400 0.000044 0.000000
-0.000047 0.000967 0.001604 0.001688 0.000666 0.000005 0.000000
-0.000044 0.001104 0.001840 0.001867 0.001126 0.000120 0.000000
-0.000000 0.001338 0.002205 0.001917 0.002074 0.000164 0.000000
0.000081 0.001432 0.002180 0.001313 0.002600 0.000200 0.000000
0.000078 0.001420 0.002106 0.000750 0.002649 0.000122 0.000000
0.000096 0.001291 0.001761 -0.000060 0.002460 0.000042 0.000000
0.000091 0.001350 0.001700 -0.000684 0.002360 -0.000072 0.000000
0.000036 0.001285 0.001540 -0.001066 0.002080 -0.000052 0.000000
0.000020 0.001211 0.001451 -0.001042 0.001662 -0.000098 0.000000
-0.000013 0.001279 0.001660 -0.000877 0.001569 -0.000173 0.000000
-0.000085 0.001305 0.001937 -0.000316 0.001274 -0.000036 0.000000
-0.000136 0.001366 0.002338 0.000551 0.001047 0.000057 0.000000
-0.000146 0.001285 0.002352 0.000873 0.000789 0.000083 0.000000
-0.000193 0.001316 0.002516 0.001045 0.000682 0.000187 0.000000
-0.000208 0.001204 0.002342 0.000713 0.000397 0.000251 0.000000
-0.000224 0.001117 0.002336 0.000567 0.000156 0.000135 0.000000
-0.000214 0.000895 0.002327 0.000633 0.000102 0.000186 0.000000
-0.000306 0.000819 0.002663 0.000740 -0.000026 0.000167 0.000000
-0.000410 0.000620 0.002603 0.000479 -0.000211 0.000225 0.000000
-0.000491 0.000404 0.002522 0.000720 -0.000311 0.000246 0.000000
-0.000499 0.000244 0.002781 0.001437 -0.000339 0.000149 0.000000
-0.000485 0.000106 0.002955 0.002433 -0.000393 0.000141 0.000000
-0.000510 -0.000066 0.003075 0.003273 -0.000282 0.000234 0.000000
-0.000465 -0.000221 0.002966 0.003723 -0.000139 0.000186 0.007843
-0.000508 -0.000388 0.003461 0.004807 -0.000019 0.000230 0.000000
-0.000409 -0.000544 0.003971 0.005823 0.000154 0.000202 0.000000
-0.000320 -0.000635 0.004350 0.006252 0.000196 0.000104 0.000000
-0.000233 -0.000488 0.003958 0.004753 0.000084 0.000075 0.019608
-0.000280 -0.000496 0.004188 0.004008 0.000118 0.000089 0.000000
-0.000278 -0.000448 0.004465 0.003652 0.000136 -0.000005 0.000000
-0.000249 -0.000280 0.003842 0.002155 0.000014 0.000023 0.003922
-0.000189 -0.000217 0.003774 0.001221 0.000009 -0.000110 0.000000
-0.000142 -0.000209 0.003618 0.000758 -0.000056 -0.000112 0.000000
0.000019 -0.000081 0.003215 0.000194 -0.000110 -0.000365 0.000000
0.000084 -0.000029 0.002467 -0.000310 -0.000104 -0.000326 0.000000
0.000161 0.000022 0.002213 -0.000661 -0.000138 -0.000381 0.000000
0.000269 0.000075 0.001937 -0.000592 -0.000151 -0.000451 0.000000
0.000357 0.000146 0.001597 -0.000594 -0.000178 -0.000531 0.000000
0.000438 0.000197 0.001079 -0.000739 -0.000214 -0.000707 0.000000
0.000777 0.000325 0.000703 -0.001092 -0.000248 -0.001132 0.000000
0.000961 0.000418 0.000459 -0.001206 -0.000302 -0.001416 0.000000
0.001062 0.000463 0.000326 -0.001059 -0.000331 -0.001540 0.000000
0.001254 0.000603 0.000343 -0.001377 -0.000344 -0.001867 0.000000
0.001244 0.000756 0.000459 -0.002228 -0.000429 -0.001947 0.019608
0.001059 0.000962 0.000536 -0.003924 -0.000487 -0.001740 0.000000
0.000848 0.001155 0.000720 -0.005018 -0.000499 -0.001505 0.000000
0.000695 0.001466 0.001242 -0.005586 -0.000563 -0.001327 0.000000
0.000520 0.001600 0.001732 -0.005008 -0.000457 -0.001025 0.000000
0.000329 0.001633 0.001989 -0.004241 -0.000385 -0.000795 0.000000
0.000195 0.001810 0.002545 -0.003415 -0.000319 -0.000586 0.000000
0.000070 0.001794 0.002936 -0.001864 -0.000219 -0.000500 0.000000
-0.000063 0.001691 0.003139 -0.000653 -0.000120 -0.000283 0.000000
-0.000084 0.001521 0.002969 -0.000028 -0.000020 -0.000193 0.000000
-0.000161 0.001479 0.002968 0.000213 -0.000064 -0.000123 0.000000
-0.000184 0.001374 0.002814 0.000429 -0.000017 -0.000129 0.000000
-0.000186 0.001184 0.002514 0.000398 -0.000025 -0.000213 0.000000
-0.000154 0.001201 0.002586 0.000341 0.000037 -0.000263 0.000000
-0.000159 0.001138 0.002447 0.000202 -0.000067 -0.000323 0.000000
-0.000132 0.001026 0.002376 0.000419 0.000049 -0.000246 0.000000
-0.000136 0.000888 0.002138 0.000529 0.000015 -0.000097 0.000000
-0.000104 0.000854 0.002229 0.000919 -0.000032 -0.000103 0.000000
0.000002 0.000791 0.002164 0.001195 0.000027 -0.000183 0.000000
0.000004 0.000674 0.001999 0.001418 0.000066 -0.000080 0.000000
0.000106 0.000518 0.001806 0.001586 0.000048 -0.000163 0.000000
0.000125 0.000306 0.001911 0.002288 0.000023 -0.000147 0.000000
0.000071 0.000012 0.002225 0.003277 -0.000182 -0.000038 0.000000
0.000023 -0.000287 0.002580 0.004194 -0.000123 0.000053 0.000000
-0.000040 -0.000576 0.003190 0.005140 -0.000101 0.000175 0.000000
0.000029 -0.000769 0.003469 0.005355 -0.000003 0.000092 0.000000
0.000103 -0.000805 0.003455 0.004540 -0.000040 -0.000117 0.000000
0.000102 -0.000788 0.003256 0.003486 -0.000085 -0.000130 0.003922
-0.000020 -0.000964 0.003570 0.003334 -0.000047 -0.000026 0.000000
-0.000068 -0.000943 0.003566 0.002791 -0.000018 0.000045 0.000000
-0.000042 -0.000756 0.003192 0.001702 -0.000058 -0.000040 0.000000
-0.000029 -0.000621 0.002710 0.001069 -0.000056 -0.000055 0.000000
0.000005 -0.000700 0.002730 0.001440 0.000018 -0.000117 0.000000
-0.000021 -0.000664 0.002447 0.001512 0.000108 -0.000025 0.000000
0.000049 -0.000489 0.001790 0.000861 0.000100 -0.000098 0.000000
0.000153 -0.000352 0.001422 0.000464 0.000104 -0.000056 0.000000
0.000187 -0.000246 0.001180 0.000396 0.000157 0.000192 0.000000
0.000160 -0.000187 0.000861 -0.000008 0.000171 0.000522 0.000000
0.000138 -0.000129 0.000652 0.000031 0.000196 0.000679 0.000000
0.000269 -0.000092 0.000563 0.000040 0.000267 0.000689 0.000000
0.000248 -0.000096 0.000492 0.000321 0.000220 0.000701 0.031373
0.000210 -0.000108 0.000421 0.000646 0.000202 0.000676 0.000000
0.000156 -0.000123 0.000364 0.000918 0.000229 0.000785 0.000000
0.000159 -0.000152 0.000327 0.001112 0.000239 0.000708 0.000000
0.000227 -0.000115 0.000295 0.001222 0.000124 0.000426 0.000000
0.000413 -0.000051 0.000267 0.001179 0.000082 -0.000011 0.050980
0.000697 0.000013 0.000293 0.001263 0.000015 -0.000377 0.000000
0.000971 0.000114 0.000217 0.000995 -0.000155 -0.000618 0.000000
0.001199 0.000173 0.000195 0.001028 -0.000187 -0.000695 0.000000
0.001276 0.000227 0.000161 0.000880 -0.000231 -0.000667 0.000000
0.001411 0.000253 0.000056 0.000669 -0.000234 -0.000836 0.164157
0.001339 0.000261 0.000090 0.000669 0.000034 -0.000720 0.000000
0.001167 0.000215 0.000100 0.000616 0.000052 -0.000591 0.000000
0.001005 0.000191 0.000045 0.000440 0.000131 -0.000571 0.000000
0.000875 0.000165 0.000043 0.000466 0.000165 -0.000464 0.164157
0.000698 0.000112 0.000031 0.000422 0.000255 -0.000418 0.000000
0.000586 0.000128 -0.000033 0.000208 0.000187 -0.000396 0.000000
0.000432 0.000131 -0.000085 -0.000033 0.000078 -0.000421 0.000000
0.000344 0.000081 -0.000111 0.000056 0.000069 -0.000592 0.000000
0.000280 0.000084 -0.000093 -0.000096 0.000299 -0.000799 0.164157
0.000188 0.000108 -0.000155 -0.000219 -0.000161 -0.000995 0.000000
0.000136 0.000086 -0.000198 -0.000312 0.000080 -0.001101 0.000000
0.000093 0.000113 -0.000248 -0.000432 0.000026 -0.001120 0.000000
0.000103 0.000139 -0.000290 -0.000502 0.000036 -0.000931 0.000000
0.000058 0.000131 -0.000398 -0.000482 0.000016 -0.000707 0.062745
0.000093 0.000192 -0.000519 -0.000582 -0.000003 -0.000556 0.000000
0.000103 0.000197 -0.000601 -0.000388 -0.000017 -0.000251 0.000000
0.000088 0.000161 -0.000610 -0.000013 -0.000004 -0.000011 0.000000
0.000110 0.000154 -0.000731 0.000278 0.000008 0.000218 0.000000
0.000085 0.000076 -0.000805 0.000687 0.000060 0.000477 0.000000
0.000064 -0.000016 -0.000844 0.001273 0.000046 0.000867 0.000000
0.000056 -0.000079 -0.000653 0.001965 0.000095 0.000994 0.000000
0.000147 -0.000098 -0.000606 0.002608 0.000133 0.001008 0.000000
0.000242 -0.000212 -0.000651 0.002913 0.000083 0.000732 0.000000
0.000229 -0.000341 -0.000764 0.002758 0.000123 0.000721 0.000000
0.000219 -0.000526 -0.001043 0.002767 0.000087 0.000817 0.000000
0.000499 -0.001110 -0.002120 0.003897 0.000095 0.000783 0.000000
0.000419 -0.000976 -0.002018 0.002207 0.000055 0.000324 0.000000
0.000206 -0.000526 -0.001086 0.001019 0.000014 0.000116 0.000000
0.000577 -0.001808 -0.004091 0.002284 0.000024 0.000308 0.000000
0.000505 -0.001375 -0.003161 0.001666 0.000007 0.000063 0.000000
0.000535 -0.001406 -0.003416 0.001730 0.000169 -0.000012 0.000000
0.000578 -0.001202 -0.003147 0.001870 0.000179 -0.000126 0.000000
0.000703 -0.001185 -0.003218 0.002547 0.000190 -0.000240 0.000000
0.000822 -0.001034 -0.002981 0.003557 0.000128 -0.000416 0.000000
0.001071 -0.000882 -0.002974 0.003788 0.000113 -0.000793 0.000000
0.001276 -0.000643 -0.002767 0.003817 -0.000038 -0.001168 0.000000
0.001647 -0.000649 -0.002854 0.005349 -0.000051 -0.001538 0.000000
0.001799 -0.000583 -0.002956 0.005551 -0.000170 -0.001764 0.000000
0.001837 -0.000693 -0.003212 0.006474 -0.000126 -0.001762 0.000000
0.001713 -0.000638 -0.003632 0.005534 -0.000210 -0.001599 0.000000
0.001670 -0.000789 -0.004285 0.006375 -0.000082 -0.001410 0.000000
0.001505 -0.000877 -0.004457 0.006369 -0.000174 -0.001245 0.000000
0.001269 -0.000932 -0.004420 0.006721 -0.000069 -0.000891 0.000000
0.001177 -0.001085 -0.005082 0.006611 -0.000113 -0.000832 0.000000
0.000907 -0.001366 -0.005069 0.007000 -0.000061 -0.000426 0.000000
0.000831 -0.001627 -0.005613 0.006604 0.000031 -0.000254 0.000000
0.000611 -0.001961 -0.005439 0.005855 -0.000019 -0.000064 0.000000
0.000428 -0.002424 -0.006154 0.004899 -0.000093 0.000271 0.000000
0.000356 -0.002752 -0.006154 0.004605 -0.000069 0.000160 0.000000
0.000118 -0.003106 -0.006135 0.003246 -0.000091 0.000404 0.000000
-0.000034 -0.003013 -0.005732 0.001757 -0.000096 0.000394 0.000000
-0.000227 -0.003319 -0.005907 0.000803 -0.000019 0.000610 0.000000
-0.000297 -0.003522 -0.005740 -0.000088 0.000049 0.000499 0.000000
-0.000338 -0.003200 -0.005160 -0.001131 0.000037 0.000448 0.000000
-0.000337 -0.003337 -0.005243 -0.001433 0.000027 0.000380 0.000000
-0.000258 -0.003195 -0.005101 -0.002548 0.000031 0.000242 0.000000
