# dx dy dz rx ry rz dgrip
0.000025 0.000199 -0.000788 -0.001099 0.000201 -0.001466 0.000000
0.000097 0.000510 -0.001393 -0.002355 0.000241 -0.001545 0.000000
0.000092 0.000807 -0.002082 -0.003785 0.000402 -0.001611 0.000000
0.000107 0.000946 -0.002358 -0.004133 0.000440 -0.001435 0.164157
0.000155 0.001099 -0.002722 -0.004464 0.000460 -0.001544 0.000000
0.000145 0.001155 -0.002907 -0.004211 0.000422 -0.001339 0.000000
0.000164 0.001196 -0.002926 -0.003809 0.000304 -0.001095 0.129412
0.000148 0.001102 -0.002845 -0.003608 0.000213 -0.000892 0.000000
0.000258 0.001061 -0.002914 -0.003482 0.000417 -0.000814 0.113725
0.000220 0.000823 -0.002789 -0.003182 -0.000111 -0.000682 0.000000
0.000192 0.000622 -0.002386 -0.002719 -0.000047 -0.000458 0.000000
0.000191 0.000535 -0.002352 -0.002660 -0.000070 -0.000441 0.000000
0.000188 0.000483 -0.002195 -0.002569 -0.000126 -0.000338 0.000000
0.000160 0.000378 -0.001988 -0.002318 -0.000213 -0.000291 0.066667
0.000133 0.000301 -0.001650 -0.002003 -0.000258 -0.000282 0.000000
0.000091 0.000217 -0.001587 -0.001901 -0.000171 -0.000148 0.000000
0.000124 0.000096 -0.001632 -0.001729 -0.000098 -0.000132 0.000000
0.000141 -0.000087 -0.001847 -0.001491 -0.000163 -0.000017 0.000000
0.000271 -0.000197 -0.002159 -0.001225 -0.000037 -0.000006 0.000000
0.000254 -0.000437 -0.002327 -0.000034 -0.000040 0.000199 0.000000
0.000275 -0.000611 -0.002256 0.001643 0.000052 0.000423 0.000000
0.000186 -0.000736 -0.001781 0.003761 0.000145 0.000639 0.000000
0.000187 -0.000904 -0.001625 0.006223 0.000180 0.000846 0.000000
0.000186 -0.000954 -0.001511 0.007566 0.000276 0.000847 0.000000
0.000165 -0.001132 -0.001534 0.007708 0.000568 0.000896 0.000000
0.000121 -0.001112 -0.001809 0.007708 0.000674 0.000888 0.000000
0.000150 -0.001360 -0.002494 0.007708 0.000912 0.000941 0.000000
0.000044 -0.001475 -0.003381 0.007708 0.000901 0.001059 0.000000
0.000078 -0.001595 -0.003948 0.007708 0.000786 0.001055 0.000000
0.000208 -0.001717 -0.005359 0.007708 0.000723 0.001090 0.000000
0.000336 -0.001685 -0.006154 0.006522 0.000583 0.001043 0.000000
0.000379 -0.001783 -0.006154 0.006606 0.000476 0.000973 0.000000
0.000390 -0.001689 -0.006154 0.005236 0.000365 0.000900 0.000000
0.000401 -0.001725 -0.006154 0.004452 0.000385 0.000840 0.000000
0.000438 -0.001919 -0.006154 0.004808 0.000389 0.000818 0.000000
0.000384 -0.001946 -0.006154 0.005082 0.000397 0.000784 0.000000
0.000400 -0.001742 -0.006154 0.004607 0.000350 0.000630 0.000000
0.000396 -0.001888 -0.006154 0.004828 0.000310 0.000636 0.000000
0.000428 -0.001753 -0.006154 0.003927 0.000308 0.000636 0.000000
0.000423 -0.001839 -0.006154 0.005128 0.000387 0.000725 0.000000
0.000389 -0.001568 -0.006154 0.003866 0.000403 0.000646 0.000000
0.000401 -0.001628 -0.006154 0.003985 0.000411 0.000706 0.000000
0.000400 -0.001646 -0.006154 0.004582 0.000448 0.000797 0.000000
0.000414 -0.001701 -0.006154 0.004902 0.000541 0.000738 0.000000
0.000347 -0.001585 -0.006120 0.004330 0.000543 0.000639 0.000000
0.000386 -0.001631 -0.006154 0.004563 0.000457 0.000667 0.000000
0.000365 -0.001696 -0.005980 0.005204 0.000426 0.000585 0.000000
0.000370 -0.001560 -0.006093 0.003984 0.000280 0.000435 0.000000
0.000310 -0.001643 -0.005570 0.004739 0.000269 0.000469 0.000000
0.000305 -0.001496 -0.005233 0.003956 0.000210 0.000370 0.000000
0.000309 -0.001559 -0.005012 0.004188 0.000216 0.000346 0.000000
0.000316 -0.001558 -0.004848 0.004315 0.000255 0.000378 0.000000
0.000245 -0.001503 -0.004433 0.003822 0.000176 0.000429 0.000000
0.000194 -0.001488 -0.003637 0.004374 0.000184 0.000367 0.000000
0.000184 -0.001478 -0.003678 0.003495 0.000156 0.000296 0.000000
0.000130 -0.001497 -0.002948 0.004241 0.000156 0.000285 0.000000
0.000032 -0.001233 -0.002252 0.003463 0.000167 0.000336 0.000000
-0.000012 -0.001088 -0.001965 0.003274 0.000119 0.000111 0.000000
-0.000023 -0.000875 -0.001560 0.003000 0.000126 -0.000104 0.000000
-0.000033 -0.000679 -0.001248 0.002341 0.000096 -0.000330 0.000000
-0.000056 -0.000446 -0.000807 0.002036 0.000068 -0.000521 0.000000
-0.000053 -0.000268 -0.000591 0.001813 0.000035 -0.000714 0.000000
-0.000044 -0.000097 -0.000291 0.001730 -0.000101 -0.000972 0.000000
-0.000019 0.000056 -0.000061 0.001646 -0.000087 -0.001074 0.000000
-0.000046 0.000116 -0.000015 0.001141 -0.000118 -0.000826 0.000000
-0.000066 0.000176 0.000078 0.001042 -0.000122 -0.000758 0.000000
-0.000053 0.000279 0.000205 0.000968 -0.000110 -0.000645 0.000000
-0.000046 0.000307 0.000265 0.000879 -0.000172 -0.000431 0.000000
-0.000051 0.000280 0.000247 0.000663 -0.000159 -0.000154 0.000000
-0.000075 0.000299 0.000276 0.000619 -0.000222 -0.000049 0.000000
-0.000068 0.000279 0.000315 0.000704 -0.000161 0.000067 0.000000
-0.000048 0.000347 0.000396 0.000753 -0.000066 0.000071 0.000000
-0.000031 0.000360 0.000340 0.000552 -0.000009 0.000100 0.000000
-0.000022 0.000454 0.000402 0.000552 -0.000044 0.000289 0.000000
-0.000050 0.000514 0.000416 0.000399 -0.000022 0.000420 0.000000
-0.000030 0.000468 0.000335 0.000239 -0.000036 0.000403 0.000000
-0.000032 0.000564 0.000394 0.000187 0.000016 0.000435 0.000000
-0.000040 0.000498 0.000323 0.000100 0.000013 0.000460 0.000000
0.000001 0.000455 0.000274 0.000022 0.000012 0.000336 0.000000
-0.000039 0.000375 0.000242 0.000059 0.000060 0.000381 0.000000
-0.000007 0.000281 0.000116 -0.000168 0.000028 0.000325 0.000000
0.000004 0.000186 0.000063 -0.000129 0.000055 0.000378 0.000000
0.000015 0.000059 -0.000057 -0.000296 0.000079 0.000432 0.000000
-0.000000 0.000017 -0.000101 -0.000363 0.000025 0.000485 0.000000
-0.000013 0.000025 -0.000084 -0.000300 0.000069 0.000627 0.000000
0.000048 0.000131 -0.000023 -0.000264 0.000011 0.000574 0.000000
-0.000032 0.000282 0.000154 -0.000015 0.000082 0.000686 0.000000
-0.000003 0.000350 0.000303 0.000317 0.000037 0.000666 0.000000
-0.000039 0.000420 0.000396 0.000394 0.000156 0.000685 0.000000
0.000011 0.000532 0.000462 0.000438 0.000197 0.000631 0.000000
0.000041 0.000553 0.000464 0.000484 0.000155 0.000504 0.000000
